k,N,i,err logdet,err linsolve,niter,err trace noise,err trace l
0,1,0,0.012038225022853,5.4402366842058754e-14,90,0.0016336759996855,0.2757835714048138
0,1,1,0.0043509648430531,5.4339167385159605e-14,91,0.0123323376150487,0.2337158745174263
0,1,2,0.0249506879742205,5.4402366842058754e-14,90,0.0102152511595752,0.1174446765324079
0,1,3,0.0895558764147231,5.4402366842058754e-14,90,0.0836545988245595,0.4978282449804384
0,1,4,0.0218962269530841,5.4402366842058754e-14,90,0.0319060628672294,0.4322300097870888
0,1,5,0.0314788628348253,5.4402366842058754e-14,90,0.0266162493894028,0.1213915291786011
0,1,6,0.0466972976600417,5.4402366842058754e-14,90,0.0364245558544768,0.1364981309473134
0,1,7,0.0437856759847757,5.4339167385159605e-14,91,0.0513830797109201,0.1990534484136482
0,1,8,0.0073434089797064,5.4402366842058754e-14,90,0.0014742727707472,0.1029656164764845
0,1,9,0.0552135050910954,5.4402366842058754e-14,90,0.0432054254271705,0.1860180350334148
0,1,10,0.0139199611989434,5.4402366842058754e-14,90,0.0160844786027909,0.1654791800431494
0,1,11,0.0338671507309957,5.4402366842058754e-14,90,0.0336668177914966,0.0801740001586992
0,1,12,0.1095122667507613,5.4402366842058754e-14,90,0.1126344802828432,0.2758785710407621
0,1,13,0.067031040041899,5.4402366842058754e-14,90,0.0603804662528912,0.2184969462524161
0,1,14,0.0262726940859087,5.4402366842058754e-14,90,0.0304634625485091,0.408021309402249
0,1,15,0.0226222897319948,5.4339167385159605e-14,91,0.0206385362441979,0.7323360988517168
0,1,16,0.00948082391715,5.4402366842058754e-14,90,0.0236669506827171,1.7146941692050055
0,1,17,0.066263525238786,5.4339167385159605e-14,91,0.0576939508083705,0.8442307130308923
0,1,18,0.024028432223756,5.4402366842058754e-14,90,0.0283505866200139,0.1972262056524224
0,1,19,0.0173084622239369,5.4402366842058754e-14,90,0.0106367323086086,0.0792608581449718
0,1,20,0.0077834577191168,5.4339167385159605e-14,91,0.0147795423216022,0.4317823389810147
0,1,21,0.0384750413287943,5.4402366842058754e-14,90,0.0427315976222303,0.2643188111647381
0,1,22,0.0250533089991625,5.4339167385159605e-14,91,0.0283554035333994,0.0959849367097472
0,1,23,0.0056775051451643,5.4402366842058754e-14,90,0.0036288973003216,0.6806679747896726
0,1,24,0.015395973583005,5.4402366842058754e-14,90,0.0013474531156933,0.0138429844048024
0,1,25,0.0524074474435476,5.4402366842058754e-14,90,0.0455166038675867,0.3445428979326503
0,1,26,0.0021462277701021,5.4402366842058754e-14,90,0.0036501544744515,0.2127635666191596
0,1,27,0.0111910868822746,5.4402366842058754e-14,90,0.0168597132371296,0.1837615102423263
0,1,28,0.1075848969459292,5.4402366842058754e-14,90,0.1119144731329183,0.232384452670552
0,1,29,0.0497415702645486,5.4402366842058754e-14,90,0.0512210954407829,0.1495612468428215
0,1,30,0.0244783934554019,5.4339167385159605e-14,91,0.0233094101906239,0.3448506681703309
0,1,31,0.0380820934776826,5.4402366842058754e-14,90,0.0317410404450602,0.3904296815507324
0,1,32,0.0617369355871888,5.4402366842058754e-14,90,0.0585424503251243,0.218060269509613
0,1,33,0.0092151786330347,5.4402366842058754e-14,90,0.0172917335909364,0.3024803089774164
0,1,34,0.0185051181794863,5.4339167385159605e-14,91,0.0129413948975565,0.2791751716231104
0,1,35,0.0212578317682968,5.4402366842058754e-14,90,0.0064622182218896,0.0275634059909372
0,1,36,0.0220207920944386,5.4402366842058754e-14,90,0.0023116002232841,0.3721999337198009
0,1,37,0.0183709569818792,5.4402366842058754e-14,90,0.0150114234652829,0.1677007824590553
0,1,38,0.0250783090435681,5.4402366842058754e-14,90,0.0294416412319325,0.395820593764664
0,1,39,0.0838476539360972,5.4402366842058754e-14,90,0.0880419924392031,0.3912259529235797
0,1,40,0.0694660718481922,5.4402366842058754e-14,90,0.0721249988136665,0.3178592037837587
0,1,41,0.0747633382860925,5.4402366842058754e-14,90,0.0629602851459224,0.1221509202817311
0,1,42,0.0375662524364755,5.4402366842058754e-14,90,0.0485771796207773,0.1404763835357844
0,1,43,0.0586497414539862,5.4402366842058754e-14,90,0.0152011183154415,0.6581939463229287
0,1,44,0.0793696257237147,5.4339167385159605e-14,91,0.0609702697878343,0.4759374577005418
0,1,45,0.0452538080709668,5.4402366842058754e-14,90,0.0473486608693094,0.2811773215239611
0,1,46,0.015106255860438,5.4402366842058754e-14,90,0.0106769303234606,0.0421114772465545
0,1,47,0.0690378715061651,5.4339167385159605e-14,91,0.0616343206863281,0.4334506933442516
0,1,48,0.0329358673583447,5.4402366842058754e-14,90,0.0229866595576601,0.1962470918917828
0,1,49,0.074926837240898,5.4402366842058754e-14,90,0.0648724599870783,0.37923239295542
0,1,50,0.0114909405149114,5.4402366842058754e-14,90,0.0118620362470056,0.610470458916308
0,1,51,0.0372380500741046,5.4402366842058754e-14,90,0.0306698397342811,0.6053579208847755
0,1,52,0.0174514757184522,5.4339167385159605e-14,91,0.014082347958057,0.3862719791427111
0,1,53,0.0233621089295834,5.4402366842058754e-14,90,0.0274398129814189,0.8495252555593875
0,1,54,0.0275802967900649,5.4402366842058754e-14,90,0.0380165258455129,0.6266191625742171
0,1,55,0.0058310155274822,5.4402366842058754e-14,90,0.0039074504702204,0.6515004349769028
0,1,56,0.0228934358512355,5.4339167385159605e-14,91,0.0188684543344703,0.3171620595130608
0,1,57,0.0468779566741896,5.4402366842058754e-14,90,0.0562107045156777,0.2539261808887367
0,1,58,0.0424812175142598,5.4402366842058754e-14,90,0.0451425638723246,0.372471683614781
0,1,59,0.0087085295969103,5.4339167385159605e-14,91,0.0131539990801605,0.4049876873269357
0,1,60,0.0820940484366879,5.4402366842058754e-14,90,0.0691945665566021,1.046443704478995
0,1,61,0.0451219638616329,5.4402366842058754e-14,90,0.0372825805536466,0.1753714491053941
0,1,62,0.0768602072900097,5.4402366842058754e-14,90,0.0755705645949698,0.7666027977857139
