,kernel,data,d,r,k,gamma,eig_A11,cond,max_rank,rank,kernel_eigs,kernel_params,pivchol_trace,sigma2,time_kernel,time_pivchol,prod
80,Matern,normal,1,2,181,74.49729348398348,1.4034011049761392e-05,1.125620171573342,300,300,0.0015687219632912613,"(0.1, 2.5)",0.18554592023206376,0.1,0.1954961599985836,9.148102435996407,0.11686554049407986
81,Matern,normal,1,2,191,76.16726690006003,1.0438886823411937e-05,1.0828732850429044,300,300,0.0011056198039325973,"(0.1, 2.5)",0.11446414927461869,0.1,0.1954961599985836,9.148102435996407,0.08421203869612617
82,Matern,normal,1,2,201,72.94282159726781,7.713854534718142e-06,1.0445621547327408,300,300,0.0007879213682620982,"(0.1, 2.5)",0.07882698392341711,0.1,0.1954961599985836,9.148102435996407,0.05747320779781738
83,Matern,normal,1,2,211,74.93152672712823,5.550664757052238e-06,1.0147764734568783,300,300,0.0005572326388893397,"(0.1, 2.5)",0.05174667986319233,0.1,0.1954961599985836,9.148102435996407,0.04175429237416475
84,Matern,normal,1,2,221,69.75504983956553,3.892214204107284e-06,1.0127764647039665,300,300,0.00040398125361072447,"(0.1, 2.5)",0.038608074435283746,0.1,0.1954961599985836,9.148102435996407,0.028179732479866246
85,Matern,normal,1,2,231,64.17532854554402,2.796531267259023e-06,1.012776169207227,300,300,0.0003029892048990686,"(0.1, 2.5)",0.030225957869472363,0.1,0.1954961599985836,9.148102435996407,0.019444431770150882
86,Matern,normal,1,2,241,70.8736847019913,2.030387311622509e-06,1.0107809662381948,300,300,0.0002222402396657558,"(0.1, 2.5)",0.023140124635450038,0.1,0.1954961599985836,9.148102435996407,0.015750984674165754
87,Matern,normal,1,2,251,72.34422293576002,1.510137516149858e-06,1.0107806952829748,300,300,0.00015977124476963347,"(0.1, 2.5)",0.018896666690020818,0.1,0.1954961599985836,9.148102435996407,0.011558526550338245
88,Matern,normal,1,2,261,78.56967299181143,1.1525314426465431e-06,1.0059944601343536,300,300,0.0001273649175319088,"(0.1, 2.5)",0.014899200661869592,0.1,0.1954961599985836,9.148102435996407,0.010007019921111105
89,Matern,normal,1,2,271,85.45977442910365,8.829406994862438e-07,1.0053993156890857,300,300,9.440035612203149e-05,"(0.1, 2.5)",0.01224243674308181,0.1,0.1954961599985836,9.148102435996407,0.008067433140215864
90,Matern,normal,1,2,281,86.99228786224161,6.656950558112317e-07,1.0036138328493232,300,300,7.104798995281323e-05,"(0.1, 2.5)",0.009732841165124639,0.1,0.1954961599985836,9.148102435996407,0.006180627194008779
91,Matern,normal,1,2,291,97.53190276495933,5.099941047402253e-07,1.0036137435639583,300,300,5.660681956970775e-05,"(0.1, 2.5)",0.008154416602517277,0.1,0.1954961599985836,9.148102435996407,0.005520970822106333
92,Matern,normal,1,2,299,100.44974740476037,4.2807908797133204e-07,1.0035840745475604,300,300,4.702076197812888e-05,"(0.1, 2.5)",0.006984507680738298,0.1,0.1954961599985836,9.148102435996407,0.0047232236634824065
93,Matern,normal,1,3,1,1.0,1.0,952.3348627014863,300,300,84.69301644783168,"(0.1, 2.5)",906.3007484557022,0.1,0.20069605599564966,8.834251114007202,84.69301644783168
94,Matern,normal,1,3,11,10.999585916246803,0.0909083509611085,678.96812679287,300,300,29.082260226821248,"(0.1, 2.5)",662.7704574227088,0.1,0.20069605599564966,8.834251114007202,319.8928200035675
95,Matern,normal,1,3,21,20.366329332078664,0.0472094648386427,474.90076769141274,300,300,12.45059473177967,"(0.1, 2.5)",395.63289337124087,0.1,0.20069605599564966,8.834251114007202,253.57291268766838
96,Matern,normal,1,3,31,26.295334116232354,0.02976574469424073,351.41816327743874,300,300,5.709216927523803,"(0.1, 2.5)",286.6755916938743,0.1,0.20069605599564966,8.834251114007202,150.12576665128793
97,Matern,normal,1,3,41,26.649776328732553,0.018312022485698964,104.86149186502034,300,300,2.547900791884952,"(0.1, 2.5)",120.23298488527374,0.1,0.20069605599564966,8.834251114007202,67.90098621153453
98,Matern,normal,1,3,51,27.477556467482586,0.010224258221945844,70.30163942946,300,300,1.2866305084801337,"(0.1, 2.5)",63.82099510211363,0.1,0.20069605599564966,8.834251114007202,35.35346244954871
99,Matern,normal,1,3,61,32.536332346474424,0.005607239563150641,33.27028576655703,300,300,0.7777608002563641,"(0.1, 2.5)",34.401630221606894,0.1,0.20069605599564966,8.834251114007202,25.30548388320097
100,Matern,normal,1,3,71,29.81770249506095,0.003093151211138942,30.266533635852387,300,300,0.38614189370838176,"(0.1, 2.5)",24.327404877489727,0.1,0.20069605599564966,8.834251114007202,11.513864107475975
101,Matern,normal,1,3,81,33.21971150891619,0.001737727409208525,6.595954323841295,300,300,0.2010631875114553,"(0.1, 2.5)",10.168734006603398,0.1,0.20069605599564966,8.834251114007202,6.679261084193666
102,Matern,normal,1,3,91,40.287719209037874,0.0009479251552440917,5.618589263826551,300,300,0.1102210902817218,"(0.1, 2.5)",5.418022911975577,0.1,0.20069605599564966,8.834251114007202,4.440556336184021
