kernel,kernel_params,k,err_L,err_y,err_logdet,time,niter,N,r,err_dL1,err_dL2,err_trace1,err_trace2
SE,{'lengthscale': 0.2},0,0.5280399305987523,2.6101969972791237e-13,0.11064185090599164,0.07684514400898479,83,1,0,0.698722210837054,1.4290221379752794,0.1096974274924231,1.069924895947121
SE,{'lengthscale': 0.2},0,0.17877512254178005,2.6433379903732425e-13,0.0374593081086462,0.07806080499722157,82,1,1,0.19065204510667685,0.3365025662912703,0.02993183638647568,0.2519432440254473
SE,{'lengthscale': 0.2},0,0.11424628922021555,2.600989297381773e-12,0.023938380728391048,0.1533037500048522,77,1,2,0.08869245550272399,0.27990580529248243,0.013924466770535339,0.20956861453930678
SE,{'lengthscale': 0.2},0,0.15441608663912915,2.600989297381773e-12,0.032355283465098444,0.1994520169973839,77,1,3,0.2910412717606277,1.4989794396766047,0.04569266342344777,1.1223027120457243
SE,{'lengthscale': 0.2},0,0.2157396970746893,2.600989297381773e-12,0.04520461051340509,0.07645998999942094,77,1,4,0.2441329475620289,0.10678758267552704,0.03832818808151974,0.07995306038108016
SE,{'lengthscale': 0.2},0,0.1373066717158628,2.6101969972791237e-13,0.028770294479737165,0.07829092199972365,83,1,5,0.17188511494353848,0.6872964709107529,0.02698548098386388,0.5145865732806812
SE,{'lengthscale': 0.2},0,0.03765105373588057,2.6433379903732425e-13,0.007889142529758295,0.07655297800374683,82,1,6,0.019657210289334957,0.9020481748403988,0.0030861268855833673,0.6753735816669044
SE,{'lengthscale': 0.2},0,0.2874620236551087,2.600989297381773e-12,0.060232812935793335,0.07462117499380838,77,1,7,0.4132215654392539,0.4519106051125081,0.06487462686891639,0.3383505365691325
SE,{'lengthscale': 0.2},0,0.2807351857822022,2.600989297381773e-12,0.05882331764978537,0.08159628299472388,77,1,8,0.3190244232514053,0.2881514103145573,0.050085939727046114,0.21574219146487403
SE,{'lengthscale': 0.2},0,0.3885411793763988,2.600989297381773e-12,0.08141224318141396,0.07551767199765891,77,1,9,0.5834987133064498,0.3183401833980123,0.09160766153143605,0.238344864327568
SE,{'lengthscale': 0.2},0,0.03837331243259153,2.600989297381773e-12,0.008040479643502947,0.0756407320004655,77,1,10,0.11865085315634093,0.09889831504636779,0.0186278511820013,0.07404627725660634
SE,{'lengthscale': 0.2},0,0.40383682162258017,6.091276676439743e-13,0.08461718672989743,0.07619719300419092,80,1,11,0.5214569616701429,0.21145941275935579,0.08186728052440763,0.1583220330755631
SE,{'lengthscale': 0.2},0,0.43836730753777137,2.6101969972791237e-13,0.09185246696714887,0.07717843299906235,83,1,12,0.5893784330901538,0.21727658669427005,0.09253076104744597,0.16267741641889938
SE,{'lengthscale': 0.2},0,0.13977705431414444,2.600989297381773e-12,0.02928792143800251,0.09107762199710123,77,1,13,0.12515474637779794,0.33445442741949466,0.019648944177206595,0.2504097794899318
SE,{'lengthscale': 0.2},0,0.009673886374121846,2.397388434620396e-13,0.002026999535194226,0.0947310820047278,84,1,14,0.03436299759640482,0.954364861735371,0.0053948942495151714,0.7145436716842039
SE,{'lengthscale': 0.2},0,0.14037170765709986,6.091276676439743e-13,0.02941252100462644,0.0789490370079875,80,1,15,0.14087038429502277,0.38326155690741287,0.02211625525474814,0.2869522245304379
SE,{'lengthscale': 0.2},0,0.015484281428193946,2.600989297381773e-12,0.003244469703687198,0.0784291320014745,77,1,16,0.03083865782864099,0.3737372714073309,0.004841582790202059,0.27982128519671023
SE,{'lengthscale': 0.2},0,0.2762970412624699,2.6101969972791237e-13,0.057893379408758716,0.07881933700991794,83,1,17,0.3216226575779211,1.0428410772156436,0.0504938552294021,0.7807868061504954
SE,{'lengthscale': 0.2},0,0.2030715449781183,7.380494660491175e-13,0.04255021315763234,0.07563089099130593,78,1,18,0.2971044947689777,0.8143023694375763,0.046644572431079064,0.6096773134132192
SE,{'lengthscale': 0.2},0,0.0254595708159944,2.600989297381773e-12,0.005334623150866238,0.07477317399752792,77,1,19,0.009098749962905097,0.22859614682921622,0.001428478226178296,0.1711524979994472
SE,{'lengthscale': 0.2},0,0.08112326882507073,2.397388434620396e-13,0.016998011124219743,0.07815164800558705,84,1,20,0.05221459174024084,0.7069944520664967,0.008197544464214468,0.529334672613459
SE,{'lengthscale': 0.2},0,0.1089972685746415,6.091276676439743e-13,0.022838537087757942,0.08059542199771386,80,1,21,0.19155900295799214,0.05745709896855883,0.030074226225516303,0.0430187741690127
SE,{'lengthscale': 0.2},0,0.021746612594576203,7.380494660491175e-13,0.004556635453064625,0.07546968999668024,78,1,22,0.05784863097234962,0.08622895414160886,0.009082072822651173,0.06456058470687394
SE,{'lengthscale': 0.2},0,0.41383080819267315,2.6101969972791237e-13,0.0867112578558991,0.07692772100563161,83,1,23,0.4869243095744533,0.4954778371690531,0.0764457509943076,0.3709698116554953
SE,{'lengthscale': 0.2},0,0.12942186992355328,2.600989297381773e-12,0.027118167407945332,0.07562564799445681,77,1,24,0.2061851056321584,0.173036268787913,0.03237048332556265,0.12955419440826466
SE,{'lengthscale': 0.2},0,0.16087381692536815,2.6433379903732425e-13,0.033708391800502974,0.07661296999140177,82,1,25,0.1097208717094046,0.017394846395267262,0.01722586913950852,0.013023716515067946
SE,{'lengthscale': 0.2},0,0.2050585493275005,7.380494660491175e-13,0.042966556366233456,0.08182002800458577,78,1,26,0.24998648230482104,0.1604671997999469,0.03924717661954373,0.12014359154215366
SE,{'lengthscale': 0.2},0,0.25538205258864916,2.600989297381773e-12,0.05351099670538207,0.08222146499610972,77,1,27,0.35488460499561,0.5144637580399154,0.05571588768882381,0.3851847834701742
SE,{'lengthscale': 0.2},0,0.16486592234829564,2.6101969972791237e-13,0.03454487008066644,0.07870837100199424,83,1,28,0.19273106403684878,2.1308092175086064,0.030258236527777465,1.5953607503620673
SE,{'lengthscale': 0.2},0,0.1280494400541331,2.6101969972791237e-13,0.026830597903835105,0.07704805300454609,83,1,29,0.2622718130983929,0.2989474493511298,0.04117593909917405,0.22382530692839206
SE,{'lengthscale': 0.2},0,0.06854585205400522,2.600989297381773e-12,0.014362625823740214,0.0766799099947093,77,1,30,0.05007374453295691,0.3750598979917736,0.007861437456807561,0.2808115505475833
SE,{'lengthscale': 0.2},0,0.1386732110338082,2.6101969972791237e-13,0.029056629718251892,0.12693760498950724,83,1,31,0.24382796564052997,0.5154613991489716,0.038280306775185374,0.3859317285522487
SE,{'lengthscale': 0.2},0,0.3007900923531962,2.6101969972791237e-13,0.06302548467197772,0.07823507300054189,83,1,32,0.44799162587242597,0.10764393430115583,0.07033342884217415,0.0805942204428688
SE,{'lengthscale': 0.2},0,0.2616620487828647,2.6101969972791237e-13,0.0548268638630447,0.08053993000066839,83,1,33,0.33167742480444334,0.5622709187909288,0.052072425484759065,0.4209785407053424
SE,{'lengthscale': 0.2},0,0.09613312358976575,2.6101969972791237e-13,0.020143072731804514,0.07635316299274564,83,1,34,0.03170663507330483,1.5159674451394287,0.004977852783321008,1.1350218221927808
SE,{'lengthscale': 0.2},0,0.2424520577854404,2.600989297381773e-12,0.050801734631944526,0.07609399600187317,77,1,35,0.30246111630263084,0.706776595814196,0.04748554698889159,0.52917156119524
SE,{'lengthscale': 0.2},0,0.010587438770383545,2.600989297381773e-12,0.002218419013465305,0.09104594599921256,77,1,36,0.09053965288998296,0.1950793023894155,0.014214471579757427,0.1460580607988299
SE,{'lengthscale': 0.2},0,0.007390682316214556,2.397388434620396e-13,0.0015485926793405564,0.07738206199428532,84,1,37,0.017810682031178398,0.9901026705966224,0.002796227127753448,0.7413009698477676
